name,lat,lng,category
krishna mandir,27.6830584,85.3873146,Hindu temple
Ganesh chwok,27.6955999,85.4667167,Hindu temple
रत्न देबि मन्दिर Ratna Devi Temple,27.7064306,85.4487798,Hindu temple
Gaukhureshwor Mahadev,27.6978789,85.470128,Hindu temple
Krishna Mandir,27.6968647,85.4652663,Hindu temple
Machhenarayan Temple,27.7050516,85.4546005,Hindu temple
Pujarimath,27.7050405,85.4581623,Hindu temple
Bandevi Mandir,27.7010125,85.4116719,Hindu temple
दुखहरणेश्वर महादेव मन्दिर,27.6904625,85.4126719,Hindu temple
Nageswor mahadev mandir,27.6960751,85.4512672,Hindu temple
SansariDevi Temple,27.6998422,85.4508393,Hindu temple
Thapa atreya gotra kuldevi ( Bindiwasini ) mandir,27.6974894,85.4517234,Hindu temple
Mahakali temple,27.7009076,85.444897,Hindu temple
Dakshinkali temple,27.7081468,85.4407596,Hindu temple
बरदानेश्वर महादेब Temple,27.7040349,85.4529896,Hindu temple
Beg Binayak Temple,27.7057282,85.4513723,Hindu temple
चौषठ्ठी महादेव मन्दिर,27.6526776,85.4680813,Hindu temple
Seti Devi Mandir,27.6542206,85.4561497,Hindu temple
Bhadrakali Mandir ️,27.6571685,85.4628032,Hindu temple
Bhakti Mandir,27.6750587,85.3994001,Hindu temple
Saraswati Temple,27.6713158,85.4174462,Hindu temple
Ganeshthan,27.6701975,85.4201056,Hindu temple
Chetrapaal Devi Temple,27.6528643,85.4665036,Hindu temple
seti devi temple,27.652184,85.468159,Hindu temple
Kalikasthan,27.6545861,85.4705385,Hindu temple
mukti samudayak bhawan,27.653108,85.4686347,Hindu temple
गथाँमग जलाउने स्थान,27.6705782,85.445133,Hindu temple
khutruke Shwor Mahadev,27.6412431,85.414341,Hindu temple
Shree Gokuleshwor Mahadev Mandir,27.6403479,85.4149126,Hindu temple
कालीदेवी माता मन्दिर,27.6346388,85.4393469,Hindu temple
Fulchoki mai(gundu),27.632232,85.4162295,Hindu temple
Bhairab Temple,27.6356351,85.4141833,Hindu temple
Harhar Mahadev Mandir,27.6964774,85.3797,Hindu temple
Rayamajhi Kul Mandir (रायमाझी कुल मन्दिर),27.7014024,85.3752242,Hindu temple
Nawadurga Temple,27.7008982,85.3730872,Hindu temple
Bhabisya darpan(dharmendrakrishna paudel),27.6947828,85.3769905,Hindu temple
Siddhibinayak Mandir,27.6978171,85.3789847,Hindu temple
Sano Ganesh Mandir,27.6998875,85.3752969,Hindu temple
shiv mandir,27.6965234,85.3746368,Hindu temple
(घिमिरे) थापा कुल मन्दिर,27.7013585,85.372786,Hindu temple
Bhimeshwor Mahadev,27.6689399,85.4661841,Hindu temple
कालो नरसिंह मन्दिर,27.6716513,85.4738203,Hindu temple
Maiju home,27.7005714,85.3789558,Hindu temple
