name,lat,lng,reviews_count,weekly_hours,cafe_individual_score,cafe_weight,banks_count_1km,banks_weight_1km,education_count_1km,education_weight_1km,health_count_1km,health_weight_1km,temples_count_1km,temples_weight_1km,other_count_1km,other_weight_1km,banks_rank,education_rank,health_rank,temples_rank,other_rank
Chiya & Cheers,27.6703872,85.4281081,22,85.0,0.7286174105755541,0.7286174105755541,64,30.82748492990018,179,57.31555977439824,173,72.62180091377863,251,104.39504519696617,125,48.629813522723936,103.0,9.0,79.0,47.0,47.0
Chiya dharane,27.7009029,85.3796067,6,85.0,0.6418816010661614,0.6418816010661614,8,3.5963651464388606,0,0.0,1,0.3939914982044257,28,11.782618602910684,22,9.027678847208698,1113.0,1261.0,1194.0,1125.0,1079.0
Chiya Donut,27.6667118,85.3661668,13,85.0,0.6924208470843213,0.6924208470843213,25,12.947439797861305,2,0.8125108499600547,3,1.0444519779701318,38,16.13329474229203,21,8.415370300809125,868.0,996.0,1109.0,926.0,1112.0
Chiya Guthi,27.6774298,85.3755227,3,85.0,0.6010784920363198,0.6010784920363198,46,23.2944116551726,2,0.8099228582392453,11,4.189874375306491,156,64.29762219704507,49,19.890150632197102,328.0,1144.0,748.0,404.0,693.0
Chiya Juxon,27.6604619,85.4274029,2,85.0,0.5801028097535045,0.5801028097535045,46,22.2725009826124,121,39.023173649575405,115,48.12581856604975,192,80.53448952525561,83,31.624326314307975,378.0,337.0,330.0,347.0,362.0
Chiya Kham,27.6759822,85.4337928,0,85.0,0.5,0.5,56,27.399801873783737,154,50.13465867994917,155,66.60200913321721,240,99.97333791390147,115,45.40087116346584,195.0,235.0,163.0,224.0,203.0
CHIYA LAHANA,27.6799679,85.3761355,0,85.0,0.5,0.5,45,22.55241544714098,2,0.8099228582392453,10,3.729308810431845,146,59.9469642208889,48,19.357715448630696,359.0,1144.0,820.0,543.0,716.0
Chiya Obsession Suryabinayak,27.6673926,85.4261771,1,85.0,0.55053924601816,0.55053924601816,57,27.47963905948898,173,55.30043293252753,151,63.56113592877956,253,105.56223633651933,121,46.3331194278261,193.0,130.0,179.0,28.0,172.0
Chiya party,27.6974294,85.3747136,24,85.0,0.7346969904479794,0.7346969904479794,8,3.5963651464388606,0,0.0,1,0.3939914982044257,32,13.668871646555758,22,9.027678847208698,1113.0,1261.0,1194.0,1054.0,1079.0
Chiya pasal,27.6645196,85.3670625,5,85.0,0.6306420557716643,0.6306420557716643,25,12.947439797861305,2,0.8125108499600547,3,1.0444519779701318,38,16.13329474229203,21,8.415370300809125,868.0,996.0,1109.0,926.0,1112.0
Chiya Pasal,27.6578507,85.4284849,1,85.0,0.55053924601816,0.55053924601816,34,15.97167818952643,90,28.603496663035333,70,28.858432835171666,110,45.04872082342788,37,14.180196312913829,747.0,422.0,433.0,784.0,907.0
Chiyakot,27.6684943,85.3654291,2,85.0,0.5801028097535045,0.5801028097535045,25,12.947439797861305,2,0.8125108499600547,3,1.0444519779701318,37,15.6602801668516,21,8.415370300809125,868.0,996.0,1109.0,976.0,1112.0
Chonga Ganesh Newari Khaja Ghar,27.6756675,85.4200654,0,85.0,0.5,0.5,51,25.95189039774316,154,51.56370823255581,144,60.29419247698575,191,80.38952049160198,113,44.02061517346488,222.0,214.0,209.0,348.0,241.0
Chowyela baji chhe,27.6735409,85.3748279,0,85.0,0.5,0.5,41,20.86627740669779,3,1.1577489452096297,9,3.4221855949294655,143,59.30008541740237,56,22.8708422305235,438.0,921.0,874.0,570.0,488.0
Choya Food Land,27.6899028,85.382321,1,85.0,0.55053924601816,0.55053924601816,24,11.559967366127514,1,0.34523809524957483,4,1.6401394654825556,115,47.50781016994463,45,18.32141316032843,942.0,1224.0,1073.0,772.0,786.0
Chula dhunga sekuwa,27.6826062,85.3909841,3,85.0,0.6010784920363198,0.6010784920363198,38,18.944575364443725,9,3.158271079972966,12,5.105397481359814,147,60.80519535698428,41,17.298491386145294,621.0,697.0,687.0,508.0,812.0
Chulo dhungo sekuwa,27.6829235,85.3910858,1,85.0,0.55053924601816,0.55053924601816,37,18.29909132203916,9,3.158271079972966,11,4.283799654256116,147,60.80519535698428,41,17.298491386145294,672.0,697.0,736.0,508.0,812.0
Chusky's,27.6423538,85.4354595,4,85.0,0.6173484952239897,0.6173484952239897,1,0.7220158820719793,4,1.6454941711162472,2,0.7693954801701335,23,11.553352025377729,10,4.645871026349797,1198.0,814.0,1182.0,1137.0,1224.0
